,Kasus harian,Kasus Impor,Kasus Lokal,Total kasus,Kasus aktif,% kasus aktif,"Sembuh
(baru)",Sembuh,Tingkat kesembuhan (seluruh kasus),Tingkat kesembuhan (closed cases),"Meninggal
(baru)","Meninggal
Dunia",Tingkat kematian (seluruh kasus),Tingkat kematian (closed cases),PDP,ODP,Suspek aktif,Jumlah spesimen diperiksa (dari 1 April),Jumlah orang diperiksa,Negatif,"Positif 
(=C)",Dalam Proses,Spesimen,Orang yang dites,Vaksinasi (ineligible),Jumlah test/juta penduduk,Test/Positif,Jumlah org yg dites / positif,Jumlah Test/Positif harian,Positif / Jumlah Tes,Positive rate harian,Case Growth Rate,Tingkat positivitas mingguan,Jumlah spesimen diperiksa (rata-rata 7 hari),Jumlah orang diperiksa (rata-rata 7 hari),Rasio spesimen/orang diperiksa (rata-rata 7 hari),,Dosis pertama,Dosis kedua,Dosis pertama (harian),Dosis kedua (harian),Dosis pertama (mingguan),Dosis kedua (mingguan),Test PCR Orang Nasional Rata-rata 7 hari,Pos Rate Nasional - rata-rata 7 hari,Test Orang DKI,Positif DKI,,Pos Rate DKI,Pos Rate DKI - 7 harian,NON DKI,Positif Non DKI,,Pos Rate Non DKI,Pos Rate Non DKI - 7 harian
2-Mar,2,0,2,2,2,100.00%,0,0,0.00%,0,0,0,0.00%,,,,,339,339,335,2,2,,,,,169.50,169.50,0.00,0.59%,,,,,,,,,,,,,,,,,,,,,,,,,
3-Mar,0,0,0,2,2,100.00%,0,0,0.00%,,0,0,0.00%,,,,,341,341,337,2,2,,2,,,170.50,170.50,#DIV/0!,0.59%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,
4-Mar,0,0,0,2,2,100.00%,0,0,0.00%,,0,0,0.00%,,,,,372,372,356,2,14,,31,,,186.00,186.00,#DIV/0!,0.54%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,
5-Mar,0,0,0,2,2,100.00%,0,0,0.00%,,0,0,0.00%,,,,,388,388,371,2,15,,16,,,194.00,194.00,#DIV/0!,0.52%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,
6-Mar,2,0,2,4,4,100.00%,0,0,0.00%,,0,0,0.00%,,,,,450,450,422,4,24,,62,,,112.50,112.50,31.00,0.89%,3.77%,100.00%,,,,,,,,,,,,,,,,,,,,,,,
7-Mar,0,0,0,4,4,100.00%,0,0,0.00%,,0,0,0.00%,,,,,454,454,422,4,28,,4,,,113.50,113.50,#DIV/0!,0.88%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,
8-Mar,2,1,1,6,6,100.00%,0,0,0.00%,,0,0,0.00%,,,,,483,483,445,6,32,,29,,,80.50,80.50,14.50,1.24%,8.00%,50.00%,,,,,,,,,,,,,,,,,,,,,,,
9-Mar,13,7,6,19,19,100.00%,0,0,0.00%,,0,0,0.00%,,,,,543,543,487,19,37,,60,,,28.58,28.58,4.62,3.50%,23.64%,216.67%,,,,,,,,,,,,,,,,,,,,,,,
10-Mar,8,5,3,27,27,100.00%,0,0,0.00%,,0,0,0.00%,,,,,694,694,648,27,19,,151,,,25.70,25.70,18.88,3.89%,4.73%,42.11%,,,,,,,,,,,,,,,,,,,,,,,
12-Mar,0,0,0,34,27,79.41%,1,3,8.82%,42.86%,2,4,11.76%,57.14%,,,,862,862,811,34,17,,168,,,25.35,25.35,#DIV/0!,3.94%,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,
13-Mar,35,,,69,60,86.96%,2,5,7.25%,55.56%,0,4,5.80%,44.44%,,,,"1,005",1005,917,69,19,,143,,4,14.57,14.57,4.09,6.87%,24.82%,102.94%,9.72%,,,,,,,,,,,,,,,,,,,,,,
14-Mar,27,,,96,83,86.46%,3,8,8.33%,61.54%,1,5,5.21%,38.46%,,,,"1,205",1205,"1,109",96,0,,200,,4,12.55,12.55,7.41,7.97%,12.33%,39.13%,11.26%,,,,,,,,,,,,,,,,,,,,,,
15-Mar,21,,,117,104,88.89%,0,8,6.84%,61.54%,0,5,4.27%,38.46%,,,,"1,293",1293,"1,167",117,9,,88,,5,11.05,11.05,4.19,9.05%,26.58%,21.88%,12.63%,,,,,,,,,,,,,,,,,,,,,,
16-Mar,17,,,134,121,90.30%,0,8,5.97%,61.54%,0,5,3.73%,38.46%,,,,"1,230",1230,"1,083",134,13,,,,5,9.18,9.18,0.00,10.89%,,14.53%,14.94%,,,,,,,,,,,,,,,,,,,,,,
17-Mar,38,,,172,156,90.70%,1,9,5.23%,56.25%,2,7,4.07%,43.75%,,,,"1,372",1372,"1,178",172,22,,120,,5,7.98,7.98,3.16,12.54%,28.57%,28.36%,16.78%,,,,,,,,,,,,,,,,,,,,,,
18-Mar,55,,,227,197,86.78%,2,11,4.85%,36.67%,12,19,8.37%,63.33%,,,,"1,592",1592,"1,342",227,23,,197,,6,7.01,7.01,3.58,14.26%,25.11%,31.98%,21.07%,,,,,,,,,,,,,,,,,,,,,,
19-Mar,82,,,309,269,87.06%,4,15,4.85%,37.50%,6,25,8.09%,62.50%,,,,"1,898",1898,"1,570",309,19,,287,,7,6.14,6.14,3.50,16.28%,26.45%,36.12%,26.57%,,,,,,,,,,,,,,,,,,,,,,
20-Mar,60,,,369,321,86.99%,1,16,4.34%,33.33%,7,32,8.67%,66.67%,,,,"2,028",2028,"1,643",369,18,,112,,8,5.50,5.50,1.87,18.20%,45.80%,19.42%,29.88%,,,,,,,,,,,,,,,,,,,,,,
21-Mar,81,,,450,392,87.11%,4,20,4.44%,34.48%,6,38,8.44%,65.52%,,,,"2,365",2365,"1,895",450,20,,317,,9,5.26,5.26,3.91,19.03%,24.18%,21.95%,31.58%,,,,,,,,,,,,,,,,,,,,,,
22-Mar,64,,,514,437,85.02%,9,29,5.64%,37.66%,10,48,9.34%,62.34%,,,,"2,438",2438,"1,904",514,20,,53,,9,4.74,4.74,0.83,21.08%,87.67%,14.22%,36.56%,,,,,,,,,,,,,,,,,,,,,,
23-Mar,65,,,579,500,86.36%,1,30,5.18%,37.97%,1,49,8.46%,62.03%,,,,"2,756",2756,"2,177",579,0,,318,,10,4.76,4.76,4.89,21.01%,19.23%,12.65%,31.70%,,,,,,,,,,,,,,,,,,,,,,
24-Mar,106,,,685,600,87.59%,0,30,4.38%,35.29%,6,55,8.03%,64.71%,,,,"3,332",3332,"2,625",685,22,,554,,12,4.86,4.86,5.23,20.56%,19.13%,18.31%,27.91%,,,,,,,,,,,,,,,,,,,,,,
25-Mar,105,,,790,701,88.73%,1,31,3.92%,34.83%,3,58,7.34%,65.17%,,,,"3,822",3822,"3,032",790,0,,490,,14,4.84,4.84,4.67,20.67%,20.51%,15.33%,26.42%,,,,,,,,,,,,,,,,,,,,,,
26-Mar,103,,,893,780,87.35%,4,35,3.92%,30.97%,20,78,8.73%,69.03%,,,,"4,336",4336,"3,443",893,0,,514,,16,4.86,4.86,4.99,20.60%,20.04%,13.04%,24.77%,,,,,,,,,,,,,,,,,,,,,,
27-Mar,153,,,"1,046",913,87.28%,11,46,4.40%,34.59%,9,87,8.32%,65.41%,,,,"5,775",5775,"4,729","1,046",0,,"1,439",,21,5.52,5.52,9.41,18.11%,10.63%,17.13%,18.37%,,,,,,,,,,,,,,,,,,,,,,
28-Mar,109,,,"1,155",994,86.06%,13,59,5.11%,36.65%,15,102,8.83%,63.35%,,,,"6,266",6266,"5,111","1,155",0,,491,,23,5.43,5.43,4.50,18.43%,22.20%,10.42%,18.27%,,,,,,,,,,,,,,,,,,,,,,
29-Mar,130,,,"1,285","1,107",86.15%,5,64,4.98%,35.96%,12,114,8.87%,64.04%,,,,"6,534",6534,"5,249","1,285",0,,268,,24,5.08,5.08,2.06,19.67%,48.51%,11.26%,18.92%,,,,,,,,,,,,,,,,,,,,,,
30-Mar,129,,,"1,414","1,217",86.07%,11,75,5.30%,38.07%,8,122,8.63%,61.93%,,,,"6,663",6663,"5,249","1,414",0,,129,,25,4.71,4.71,1.00,21.22%,100.00%,10.04%,21.49%,,,,,,,,,,,,,,,,,,,,,,
31-Mar,114,,,"1,528","1,311",85.80%,6,81,5.30%,37.33%,14,136,8.90%,62.67%,,,,"6,777",6777,"5,249","1,528",0,,114,,25,4.44,4.44,1.00,22.55%,100.00%,8.06%,24.47%,,,,,,,,,,,,,,,,,,,,,,
1-Apr,149,,,"1,677","1,417",84.50%,22,103,6.14%,39.62%,21,157,9.36%,60.38%,,,,"7,193",7193,"5,516","1,677",0,,416,,27,4.29,4.29,2.79,23.31%,35.82%,9.75%,26.31%,,,,,,,,,,,,,,,,,,,,,,
2-Apr,113,,,"1,790","1,508",84.25%,9,112,6.26%,39.72%,13,170,9.50%,60.28%,,,,"7,425",7425,"5,635","1,790",0,,232,,28,4.15,4.15,2.05,24.11%,48.71%,6.74%,29.04%,,,,,,,,,,,,,,,,,,,,,,
3-Apr,196,,,"1,986","1,671",84.14%,22,134,6.75%,42.54%,11,181,9.11%,57.46%,,,,"7,986",7986,"5,715","1,986",285,,561,,30,4.02,4.02,2.86,24.87%,71.01%,10.95%,42.51%,,,,,,,,,,,,,,,,,,,,,,
4-Apr,106,,,"2,092","1,751",83.70%,16,150,7.17%,43.99%,10,191,9.13%,56.01%,,,,"9,712",9712,"7,620","2,092",0,,"1,726",,36,4.64,4.64,16.28,21.54%,5.27%,5.34%,27.19%,,,,,,,,,,,,,,,,,,,,,,
5-Apr,181,,,"2,273","1,911",84.07%,14,164,7.22%,45.30%,7,198,8.71%,54.70%,,,,"11,242",11242,"8,969","2,273",0,,"1,530",,42,4.95,4.95,8.45,20.22%,11.83%,8.65%,20.99%,,,,,,,,,,,,,,,,,,,,,,
6-Apr,218,,,"2,491","2,090",83.90%,28,192,7.71%,47.88%,11,209,8.39%,52.12%,,,,"13,186",13186,"10,695","2,491",0,,"1,944",,49,5.29,5.29,8.92,18.89%,11.21%,9.59%,16.51%,,,,,,,,,,,,,,,,,,,,,,
7-Apr,247,,,"2,738","2,313",84.48%,12,204,7.45%,48.00%,12,221,8.07%,52.00%,,,,"14,353",14353,"11,615","2,738",0,,"1,167",,53,5.24,5.24,4.72,19.08%,21.17%,9.92%,15.97%,,,,,,,,,,,,,,,,,,,,,,
8-Apr,218,,,"2,956","2,494",84.37%,18,222,7.51%,48.05%,19,240,8.12%,51.95%,,,,"16,511",16511,"13,555","2,956",0,,"2,158",,61,5.59,5.59,9.90,17.90%,10.10%,7.96%,13.73%,,,,,,,,,,,,,,,,,,,,,,
9-Apr,337,,,"3,293","2,761",83.84%,30,252,7.65%,47.37%,40,280,8.50%,52.63%,,,,"17,679",17679,"14,386","3,293",0,,"1,168",,65,5.37,5.37,3.47,18.63%,28.85%,11.40%,14.66%,,,,,,,,,,,,,,,,,,,,,,
10-Apr,219,,,"3,512","2,924",83.26%,30,282,8.03%,47.96%,26,306,8.71%,52.04%,,,,"19,452",19452,"15,940","3,512",0,,"1,773",,72,5.54,5.54,8.10,18.05%,12.35%,6.65%,13.31%,,,,,,,,,,,,,,,,,,,,,,
11-Apr,330,,,"3,842","3,229",84.04%,4,286,7.44%,46.66%,21,327,8.51%,53.34%,,,,"19,964",19964,"16,122","3,842",0,,512,,74,5.20,5.20,1.55,19.24%,64.45%,9.40%,17.07%,,,,,,,,,,,,,,,,,,,,,,
12-Apr,399,,,"4,241","3,509",82.74%,73,359,8.46%,49.04%,46,373,8.80%,50.96%,,,,"27,075",27075,"22,834","4,241",0,,"7,111",,100,6.38,6.38,17.82,15.66%,5.61%,10.39%,12.43%,,,,,,,,,,,,,,,,,,,,,,
13-Apr,316,,,"4,557","3,778",82.91%,21,380,8.34%,48.78%,26,399,8.76%,51.22%,,,,"27,953",27953,"23,396","4,557",0,,878,,104,6.13,6.13,2.78,16.30%,35.99%,7.45%,13.99%,,,,,,,,,,,,,,,,,,,,,,
14-Apr,282,,,"4,839","3,954",81.71%,46,426,8.80%,48.14%,60,459,9.49%,51.86%,"10,482","139,137",,"31,628",31628,"26,789","4,839",0,,"3,675",,117,6.54,6.54,13.03,15.30%,7.67%,6.19%,12.16%,,,,,,,,,,,,,,,,,,,,,,
15-Apr,297,,,"5,136","4,221",82.18%,20,446,8.68%,48.74%,10,469,9.13%,51.26%,"11,165","165,549",,"36,431",33001,"27,865","5,136",0,,"1,373",,122,7.09,6.43,4.62,15.56%,21.63%,6.14%,13.22%,,,,,,,,,,,,,,,,,,,,,,
16-Apr,380,,,"5,516","4,472",81.07%,102,548,9.93%,52.49%,27,496,8.99%,47.51%,"11,873","169,446",,"39,706",34975,"29,459","5,516",0,"3,275","1,974",,130,7.20,6.34,5.19,15.77%,19.25%,7.40%,12.85%,,,,,,,,,,,,,,,,,,,,,,
17-Apr,407,,,"5,923","4,796",80.97%,59,607,10.25%,53.86%,24,520,8.78%,46.14%,"12,610","173,732",,"42,108",37134,"31,211","5,923",0,"2,402","2,159",,138,7.11,6.27,5.30,15.95%,18.85%,7.38%,13.64%,,,,,,,,,,,,,,,,,,,,,,
18-Apr,325,,,"6,248","5,082",81.34%,24,631,10.10%,54.12%,15,535,8.56%,45.88%,"12,979","176,344",,"45,378",39422,"33,174","6,248",0,"3,270","2,288",,146,7.26,6.31,7.04,15.85%,14.20%,5.49%,12.37%,,,,,,,,,,,,,,,,,,,,,,
19-Apr,327,,,"6,575","5,307",80.71%,55,686,10.43%,54.10%,47,582,8.85%,45.90%,"15,646","178,883",,"47,478",42219,"35,644","6,575",0,"2,100","2,797",,156,7.22,6.42,8.55,15.57%,11.69%,5.23%,15.41%,,,,,,,,,,,,,,,,,,,,,,
20-Apr,185,,,"6,760","5,423",80.22%,61,747,11.05%,55.87%,8,590,8.73%,44.13%,"16,343","181,770",,"49,767",43749,"36,989","6,760",0,"2,289","1,530",,162,7.36,6.47,8.27,15.45%,12.09%,2.81%,13.95%,,,,,,,,,,,,,,,,,,,,,,
21-Apr,375,,,"7,135","5,677",79.57%,95,842,11.80%,57.75%,26,616,8.63%,42.25%,"16,763","186,330",,"50,370",46173,"39,038","7,135",0,603,"2,424",,171,7.06,6.47,6.46,15.45%,15.47%,5.55%,15.79%,,,,,,,,,,,,,,,,,,,,,,
22-Apr,283,,,"7,418","5,869",79.12%,71,913,12.31%,58.94%,20,636,8.57%,41.06%,"17,754","193,571",,"55,732",47361,"39,943","7,418",0,"5,362","1,188",,175,7.51,6.38,4.20,15.66%,23.82%,3.97%,15.89%,"2,757","2,051",1.34,,,,,,,,,,,,,,,,,,,
23-Apr,357,,,"7,775","6,168",79.33%,47,960,12.35%,59.74%,11,647,8.32%,40.26%,"18,283","195,948",,"59,935",48647,"40,872","7,775",0,"4,203","1,286",,180,7.71,6.26,3.60,15.98%,27.76%,4.81%,16.52%,"2,890","1,953",1.48,,,,,,,,,,,,,,,,,,,
24-Apr,436,,,"8,211","6,520",79.41%,42,"1,002",12.20%,59.25%,42,689,8.39%,40.75%,"18,301","197,951",,"64,054",50563,"42,352","8,211",0,"4,119","1,916",,187,7.80,6.16,4.39,16.24%,22.76%,5.61%,17.04%,"3,135","1,918",1.63,,,,,,,,,,,,,,,,,,,
25-Apr,396,,,"8,607","6,845",79.53%,40,"1,042",12.11%,59.14%,31,720,8.37%,40.86%,"19,084","206,911",,"67,828",52541,"43,934","8,607",0,"3,774","1,978",,195,7.88,6.10,4.99,16.38%,20.02%,4.82%,17.98%,"3,207","1,874",1.71,,,,,,,,,,,,,,,,,,,
26-Apr,275,,,"8,882","7,032",79.17%,65,"1,107",12.46%,59.84%,23,743,8.37%,40.16%,"19,648","209,040",,"72,099",56974,"48,092","8,882",0,"4,271","4,433",,211,8.12,6.41,16.12,15.59%,6.20%,3.20%,15.64%,"3,517","2,108",1.67,,,,,,,,,,,,,,,,,,,
27-Apr,214,,,"9,096","7,180",78.94%,44,"1,151",12.65%,60.07%,22,765,8.41%,39.93%,"19,987","210,199",,"75,157",59409,"50,313","9,096",0,"3,058","2,435",,220,8.26,6.53,11.38,15.31%,8.79%,2.41%,14.92%,"3,627","2,237",1.62,,,,,,,,,,,,,,,,,,,
28-Apr,415,,,"9,511","7,484",78.69%,103,"1,254",13.18%,61.86%,8,773,8.13%,38.14%,"20,428","213,644",,"79,618",62544,"53,033","9,511",0,"4,461","3,135",,232,8.37,6.58,7.55,15.21%,13.24%,4.56%,14.51%,"4,178","2,339",1.79,,,,,,,,,,,,,,,,,,,
29-Apr,260,,,"9,771","7,596",77.74%,137,"1,391",14.24%,63.95%,11,784,8.02%,36.05%,"21,653","221,750",,"86,985",67784,"58,013","9,771",0,"7,367","5,240",,251,8.90,6.94,20.15,14.41%,4.96%,2.73%,11.52%,"4,465","2,918",1.53,,,,,,,,,,,,,,,,,,,
30-Apr,347,,,"10,118","7,804",77.13%,131,"1,522",15.04%,65.77%,8,792,7.83%,34.23%,"21,827","230,411",,"94,599",72351,"62,233","10,118",0,"7,614","4,567",,268,9.35,7.15,13.16,13.98%,7.60%,3.55%,9.88%,"4,952","3,386",1.46,,,,,,,,,,,,,,,,,,,
1-May,433,,,"10,551","8,160",77.34%,69,"1,591",15.08%,66.54%,8,800,7.58%,33.46%,"22,123","233,120",,"102,305",76538,"65,987","10,551",0,"7,706","4,187",,283,9.70,7.25,9.67,13.79%,10.34%,4.28%,9.01%,"5,464","3,711",1.47,,,,,,,,,,,,,,,,,,,
2-May,292,,,"10,843","8,347",76.98%,74,"1,665",15.36%,66.71%,31,831,7.66%,33.29%,"22,545","235,035",,"107,943",79868,"69,025","10,843",0,"5,638","3,330",,296,9.96,7.37,11.40,13.58%,8.77%,2.77%,8.18%,"5,731","3,904",1.47,,,,,,,,,,,,,,,,,,,
3-May,349,,,"11,192","8,471",75.69%,211,"1,876",16.76%,68.95%,14,845,7.55%,31.05%,"23,130","236,369",,"112,965",83012,"71,820","11,192",0,"5,022","3,144",,307,10.09,7.42,9.01,13.48%,11.10%,3.22%,8.87%,"5,838","3,720",1.57,,,,,,,,,,,,,,,,,,,
4-May,395,,,"11,587","8,769",75.68%,78,"1,954",16.86%,69.34%,19,864,7.46%,30.66%,"24,020","238,178",,"116,861",86061,"74,474","11,587",0,"3,896","3,049",,319,10.09,7.43,7.72,13.46%,12.96%,3.53%,9.35%,"5,958","3,807",1.56,,,,,,,,,,,,,,,,,,,
5-May,484,,,"12,071","9,002",74.58%,243,"2,197",18.20%,71.59%,8,872,7.22%,28.41%,"26,408","239,226",,"121,547",88924,"76,853","12,071",0,"4,686","2,863",,329,10.07,7.37,5.92,13.57%,16.91%,4.18%,9.70%,"5,990","3,769",1.59,,,,,,,,,,,,,,,,,,,
6-May,367,,,"12,438","9,226",74.18%,120,"2,317",18.63%,72.14%,23,895,7.20%,27.86%,"26,932","240,726",,"128,383",92976,"80,538","12,438",0,"6,836","4,052",,344,10.32,7.48,11.04,13.38%,9.06%,3.04%,10.59%,"5,914","3,599",1.64,,,,,,,,,,,,,,,,,,,
7-May,338,,,"12,776","9,465",74.08%,64,"2,381",18.64%,71.91%,35,930,7.28%,28.09%,"28,508","243,455",,"134,151",96717,"83,941","12,776",0,"5,768","3,741",,358,10.50,7.57,11.07,13.21%,9.04%,2.72%,10.91%,"5,650","3,481",1.62,,,,,,,,,,,,,,,,,,,
8-May,336,,,"13,112","9,675",73.79%,113,"2,494",19.02%,72.56%,13,943,7.19%,27.44%,"29,087","244,480",,"143,452",103361,"90,249","13,112",0,"9,301","6,644",,383,10.94,7.88,19.77,12.69%,5.06%,2.63%,9.55%,"5,878","3,832",1.53,,,,,,,,,,,,,,,,,,,
9-May,533,,,"13,645","10,079",73.87%,113,"2,607",19.11%,73.11%,16,959,7.03%,26.89%,"29,690","246,847",,"150,887",108699,"95,054","13,645",0,"7,435","5,338",,403,11.06,7.97,10.02,12.55%,9.99%,4.06%,9.72%,"6,135","4,119",1.49,,,,,,,,,,,,,,,,,,,
10-May,387,,,"14,032","10,361",73.84%,91,"2,698",19.23%,73.49%,14,973,6.93%,26.51%,"30,317","248,690",,"158,273",113452,"99,420","14,032",0,"7,386","4,753",,420,11.28,8.09,12.28,12.37%,8.14%,2.84%,9.33%,"6,473","4,349",1.49,,,,,,,,,,,,,,,,,,,
11-May,233,,,"14,265","10,393",72.86%,183,"2,881",20.20%,74.41%,18,991,6.95%,25.59%,"31,994","249,105",,"161,351",116358,"102,093","14,265",0,"3,078","2,906",,431,11.31,8.16,12.47,12.26%,8.02%,1.66%,8.84%,"6,356","4,328",1.47,,,,,,,,4328,8.84%,,,,,,,,,,
12-May,484,,,"14,749","10,679",72.40%,182,"3,063",20.77%,75.26%,16,"1,007",6.83%,24.74%,"32,147","251,861",,"165,128",119728,"104,979","14,749",0,"3,777","3,370",,443,11.20,8.12,6.96,12.32%,14.36%,3.39%,8.69%,"6,226","4,401",1.41,,,,,,,,4401,8.69%,,,,,,,,,,
13-May,689,,,"15,438","11,123",72.05%,224,"3,287",21.29%,76.18%,21,"1,028",6.66%,23.82%,"33,042","256,299",,"169,195",123572,"108,134","15,438",0,"4,067","3,844",,458,10.96,8.00,5.58,12.49%,17.92%,4.67%,9.81%,"5,830","4,371",1.33,,,,,,,,4371,9.81%,,,,,,,,,,
14-May,568,,,"16,006","11,445",71.50%,231,"3,518",21.98%,77.13%,15,"1,043",6.52%,22.87%,"33,672","258,639",,"173,690",127813,"111,807","16,006",0,"4,495","4,241",,473,10.85,7.99,7.47,12.52%,13.39%,3.68%,10.39%,"5,648","4,442",1.27,,,,,,,,4442,10.39%,,,,,,,,,,
15-May,490,,,"16,496","11,617",70.42%,285,"3,803",23.05%,77.95%,33,"1,076",6.52%,22.05%,"34,360","262,919",,"178,602",132060,"115,564","16,496",0,"4,912","4,247",,489,10.83,8.01,8.67,12.49%,11.54%,3.06%,11.79%,"5,021","4,100",1.22,,,,,,,,4100,11.79%,1887,62,"1,887",3.29%,3.29%,"2,360",428,"2,360",18.14%,18.14%
16-May,529,,,"17,025","12,025",70.63%,108,"3,911",22.97%,78.22%,13,"1,089",6.40%,21.78%,"35,069","269,449",,"182,818",135725,"118,700","17,025",0,"4,216","3,665",,503,10.74,7.97,6.93,12.54%,14.43%,3.21%,12.51%,"4,562","3,861",1.18,,,,,,,,3861,12.51%,1065,116,"1,476",10.89%,6.03%,"2,600",413,"2,480",15.88%,16.96%
17-May,489,,,"17,514","12,237",69.87%,218,"4,129",23.58%,78.25%,59,"1,148",6.55%,21.75%,"35,800","270,876",,"187,965",140473,"122,959","17,514",0,"5,147","4,748",,520,10.73,8.02,9.71,12.47%,10.30%,2.87%,12.89%,"4,242","3,860",1.10,,,,,,,,3860,12.89%,1378,127,"1,443",9.22%,7.04%,"3,370",362,"2,777",10.74%,14.44%
18-May,496,,,"18,010","12,495",69.38%,195,"4,324",24.01%,78.40%,43,"1,191",6.61%,21.60%,"11,422","45,047","56,469","190,660",143035,"125,025","18,010",0,"2,695","2,562",,530,10.59,7.94,5.17,12.59%,19.36%,2.83%,14.04%,"4,187","3,811",1.10,7927,,,,,,,3811,14.04%,1180,88,"1,378",7.46%,7.13%,"1,382",408,"2,428",29.52%,16.59%
19-May,486,,,"18,496","12,808",69.25%,143,"4,467",24.15%,78.53%,30,"1,221",6.60%,21.47%,"11,891","45,300","57,191","202,936",147799,"129,303","18,496",0,"12,276","4,764",,547,10.97,7.99,9.80,12.51%,10.20%,2.70%,13.35%,"5,401","4,010",1.35,7634,,,,,,,4010,13.35%,1193,43,"1,341",3.60%,6.50%,"3,571",443,"2,657",12.41%,15.46%
20-May,693,,,"19,189","13,372",69.69%,108,"4,575",23.84%,78.65%,21,"1,242",6.47%,21.35%,"11,705","44,703","56,408","211,883",154139,"134,950","19,189",0,"8,947","6,340",,571,11.04,8.03,9.15,12.45%,10.93%,3.75%,12.27%,"6,098","4,367",1.40,6922,,,,,,,4367,12.27%,1080,97,"1,297",8.98%,6.85%,"5,260",596,"3,091",11.33%,14.29%
21-May,973,,,"20,162","14,046",69.67%,263,"4,838",24.00%,79.10%,36,"1,278",6.34%,20.90%,"11,066","50,187","61,253","219,975",160374,"140,212","20,162",0,"8,092","6,235",,594,10.91,7.95,6.41,12.57%,15.61%,5.07%,12.76%,"6,612","4,652",1.42,7818,,,,,,,4652,12.76%,1252,70,"1,291",5.59%,6.67%,"4,983",903,"3,361",18.12%,15.10%
22-May,634,,,"20,796","14,413",69.31%,219,"5,057",24.32%,79.23%,48,"1,326",6.38%,20.77%,"11,028","47,150","58,178","229,334",168969,"148,173","20,796",0,"9,359","8,595",,626,11.03,8.13,13.56,12.31%,7.38%,3.14%,11.65%,"7,247","5,273",1.37,6778,,,,,,,5273,11.65%,1029,96,"1,168",9.33%,7.79%,"7,566",538,"4,105",7.11%,12.75%
23-May,949,,,"21,745","15,145",69.65%,192,"5,249",24.14%,79.53%,25,"1,351",6.21%,20.47%,"11,495","49,958","61,453","239,740",176035,"154,290","21,745",0,"10,406","7,066",,652,11.03,8.10,7.45,12.35%,13.43%,4.56%,11.71%,"8,132","5,759",1.41,7196,,,,,,,5759,11.71%,1496,127,"1,230",8.49%,7.53%,"5,570",822,"4,529",14.76%,12.84%
24-May,526,,,"22,271","15,497",69.58%,153,"5,402",24.26%,79.75%,21,"1,372",6.16%,20.25%,"11,389","42,551","53,940","248,555",179864,"157,593","22,271",0,"8,815","3,829",,666,11.16,8.08,7.28,12.38%,13.74%,2.42%,12.08%,"8,656","5,627",1.54,6514,,,,,,,5627,12.08%,1393,118,"1,232",8.47%,7.41%,"2,436",408,"4,395",16.75%,13.38%
25-May,479,,,"22,750","15,717",69.09%,240,"5,642",24.80%,80.22%,19,"1,391",6.11%,19.78%,"12,342","49,361","61,703","256,946",183192,"160,442","22,750",0,"8,391","3,328",,678,11.29,8.05,6.95,12.42%,14.39%,2.15%,11.80%,"9,469","5,737",1.65,7283,,,,,,,5737,11.80%,402,67,"1,121",16.67%,7.88%,"2,926",412,"4,616",14.08%,12.76%
26-May,415,,,"23,165","15,870",68.51%,235,"5,877",25.37%,80.56%,27,"1,418",6.12%,19.44%,"12,022","65,748","77,770","264,098",188302,"165,137","23,165",0,"7,152","5,110",,697,11.40,8.13,12.31,12.30%,8.12%,1.82%,11.53%,"8,737","5,786",1.51,8965,,,,,,,5786,11.53%,851,93,"1,072",10.93%,8.90%,"4,259",322,"4,714",7.56%,12.12%
27-May,686,,,"23,851","16,321",68.43%,180,"6,057",25.40%,80.44%,55,"1,473",6.18%,19.56%,"12,667","49,942","62,609","278,411",195518,"171,667","23,851",0,"14,313","7,216",,724,11.67,8.20,10.52,12.20%,9.51%,2.96%,11.27%,"9,504","5,911",1.61,7054,,,,,,,5911,11.27%,882,105,"1,044",11.90%,9.25%,"6,334",581,"4,868",9.17%,11.70%
