,Kasus harian,Kasus Impor,Kasus Lokal,Total kasus,Kasus aktif,% kasus aktif,"Sembuh
28-May,687,,,"24,538","16,802",68.47%,183,"6,240",25.43%,80.66%,23,"1,496",6.10%,19.34%,"13,250","48,749","61,999","289,906",201311,"176,773","24,538",0,"11,495","5,793",,746,11.81,8.20,8.43,12.19%,11.86%,2.88%,10.69%,"9,990","5,848",1.71,6627,,,,,,,5848,10.69%,1061,103,"1,016",9.71%,9.97%,"4,732",584,"4,832",12.34%,10.84%
29-May,678,,,"25,216","17,204",68.23%,252,"6,492",25.75%,81.03%,24,"1,520",6.03%,18.97%,"12,499","49,212","61,711","300,545",205165,"179,949","25,216",0,"10,639","3,854",,760,11.92,8.14,5.68,12.29%,17.59%,2.76%,12.21%,"10,173","5,171",1.97,7536,,,,,,,5171,12.21%,1183,124,"1,038",10.48%,10.14%,"2,671",554,"4,133",20.74%,12.73%
30-May,557,,,"25,773","17,185",66.68%,523,"7,015",27.22%,81.68%,53,"1,573",6.10%,18.32%,"12,832","47,714","60,546","311,906",216769,"190,996","25,773",0,"11,361","11,604",,803,12.10,8.41,20.83,11.89%,4.80%,2.21%,9.89%,"10,309","5,819",1.77,5987,,,,,,,5819,9.89%,1854,100,"1,089",5.39%,9.31%,"9,750",457,"4,730",4.69%,10.02%
31-May,700,,,"26,473","17,552",66.30%,293,"7,308",27.61%,81.92%,40,"1,613",6.09%,18.08%,"12,913","49,936","62,849","323,376",223624,"197,151","26,473",0,"11,470","6,855",,828,12.22,8.45,9.79,11.84%,10.21%,2.72%,9.60%,"10,689","6,251",1.71,6035,,,,,,,6251,9.60%,1295,119,"1,075",9.19%,9.44%,"5,560",581,"5,176",10.45%,9.64%
1-Jun,467,,,"26,940","17,662",65.56%,329,"7,637",28.35%,82.31%,28,"1,641",6.09%,17.69%,"13,120","48,358","61,478","333,415",232113,"205,173","26,940",0,"10,039","8,489",,860,12.38,8.62,18.18,11.61%,5.50%,1.76%,8.56%,"10,924","6,989",1.56,5265,,,,,,,6989,8.56%,1607,111,"1,248",6.91%,8.65%,"6,882",356,"5,741",5.17%,8.55%
2-Jun,609,,,"27,549","17,951",65.16%,298,"7,935",28.80%,82.67%,22,"1,663",6.04%,17.33%,"13,213","48,023","61,236","342,464",237947,"210,398","27,549",0,"9,049","5,834",,881,12.43,8.64,9.58,11.58%,10.44%,2.26%,8.83%,"11,195","7,092",1.58,5408,,,,,,,7092,8.83%,1008,73,"1,270",7.24%,8.27%,"4,826",536,"5,822",11.11%,8.95%
3-Jun,684,,,"28,233","18,129",64.21%,471,"8,406",29.77%,83.19%,35,"1,698",6.01%,16.81%,"13,285","48,153","61,438","354,434",246433,"218,200","28,233",0,"11,970","8,486",,913,12.55,8.73,12.41,11.46%,8.06%,2.48%,8.61%,"10,860","7,274",1.49,5288,,,,,,,7274,8.61%,1135,83,"1,306",7.31%,7.80%,"7,351",601,"5,967",8.18%,8.78%
4-Jun,585,,,"28,818","18,205",63.17%,486,"8,892",30.86%,83.78%,23,"1,721",5.97%,16.22%,"13,416","47,373","60,789","367,640",251736,"222,918","28,818",0,"13,206","5,303",,932,12.76,8.74,9.06,11.45%,11.03%,2.07%,8.49%,"11,105","7,204",1.54,5160,,,,,,,7204,8.49%,1078,62,"1,309",5.75%,7.34%,"4,225",523,"5,895",12.38%,8.74%
5-Jun,703,,,"29,521","18,308",62.02%,551,"9,443",31.99%,84.21%,49,"1,770",6.00%,15.79%,"13,592","49,320","62,912","380,973",256810,"227,289","29,521",0,"13,333","5,074",,951,12.91,8.70,7.22,11.50%,13.85%,2.44%,8.34%,"11,490","7,378",1.56,5244,,,,,,,7378,8.34%,1771,83,"1,393",4.69%,6.47%,"3,303",620,"5,985",18.77%,8.77%
6-Jun,993,,,"30,514","18,806",61.63%,464,"9,907",32.47%,84.62%,31,"1,801",5.90%,15.38%,"13,347","46,571","59,918","394,068",264740,"234,226","30,514",0,"13,095","7,930",,981,12.91,8.68,7.99,11.53%,12.52%,3.36%,9.88%,"11,737","6,853",1.71,5922,,,,,,,6853,9.88%,1052,102,"1,278",9.70%,7.08%,"6,878",891,"5,575",12.95%,10.53%
7-Jun,672,,,"31,186","18,837",60.40%,591,"10,498",33.66%,85.01%,50,"1,851",5.94%,14.99%,"14,197","40,370","54,567","405,992",269146,"237,960","31,186",0,"11,924","4,406",,997,13.02,8.63,6.56,11.59%,15.25%,2.20%,10.35%,"11,802","6,503",1.81,5649,,,,,,,6503,10.35%,1831,160,"1,355",8.74%,7.11%,"2,575",512,"5,149",19.88%,11.21%
8-Jun,847,,,"32,033","19,246",60.08%,406,"10,904",34.04%,85.27%,32,"1,883",5.88%,14.73%,"14,010","38,791","52,801","412,980",274430,"242,397","32,033",0,"6,988","5,284",,"1,016",12.89,8.57,6.24,11.67%,16.03%,2.72%,12.04%,"11,366","6,045",1.88,6355,,,,,,,6045,12.04%,1920,96,"1,399",5.00%,6.73%,"3,364",751,"4,646",22.32%,13.63%
9-Jun,"1,043",,,"33,076","19,739",59.68%,510,"11,414",34.51%,85.58%,40,"1,923",5.81%,14.42%,"14,108","38,394","52,502","429,161",281653,"248,577","33,076",0,"16,181","7,223",,"1,043",12.97,8.52,6.93,11.74%,14.44%,3.26%,12.65%,"12,385","6,244",1.98,6639,,,,,,,6244,12.65%,1762,194,"1,507",11.01%,7.39%,"5,461",849,"4,737",15.55%,14.32%
10-Jun,"1,240",,,"34,316","20,228",58.95%,715,"12,129",35.35%,86.09%,36,"1,959",5.71%,13.91%,"14,242","43,945","58,187","446,918",287478,"253,162","34,316",0,"17,757","5,825",,"1,065",13.02,8.38,4.70,11.94%,21.29%,3.75%,14.82%,"13,212","5,864",2.25,8623,,,,,,,5864,14.82%,2098,147,"1,645",7.01%,7.33%,"3,727","1,093","4,219",29.33%,17.74%
11-Jun,979,,,"35,295","20,659",58.53%,507,"12,636",35.80%,86.34%,41,"2,000",5.67%,13.66%,"14,052","43,414","57,466","463,620",294671,"259,376","35,295",0,"16,702","7,193",,"1,091",13.14,8.35,7.35,11.98%,13.61%,2.85%,15.09%,"13,711","6,134",2.24,8669,,,,,,,6134,15.09%,3372,216,"1,972",6.41%,7.23%,"3,821",763,"4,161",19.97%,18.81%
12-Jun,"1,111",,,"36,406","21,145",58.08%,577,"13,213",36.29%,86.58%,48,"2,048",5.63%,13.42%,"13,923","37,538","51,461","478,953",302147,"265,741","36,406",0,"15,333","7,476",,"1,119",13.16,8.30,6.73,12.05%,14.86%,3.15%,15.19%,"13,997","6,477",2.16,7815,,,,,,,6477,15.19%,1387,76,"1,917",5.48%,7.38%,"6,089","1,035","4,559",17.00%,18.47%
13-Jun,"1,014",,,"37,420","21,553",57.60%,563,"13,776",36.81%,86.82%,43,"2,091",5.59%,13.18%,"13,578","42,450","56,028","495,527",313275,"275,855","37,420",0,"16,574","11,128",,"1,160",13.24,8.37,10.97,11.94%,9.11%,2.79%,14.23%,"14,494","6,934",2.09,7972,,,,,,,6934,14.23%,3394,33,"2,252",0.97%,5.85%,"7,734",981,"4,682",12.68%,18.26%
14-Jun,857,,,"38,277","21,612",56.46%,755,"14,531",37.96%,87.19%,43,"2,134",5.58%,12.81%,"13,574","41,639","55,213","514,287",322933,"284,656","38,277",0,"18,760","9,658",,"1,196",13.44,8.44,11.27,11.85%,8.87%,2.29%,13.18%,"15,471","7,684",2.01,7279,,,,,,,7684,13.18%,3308,115,"2,463",3.48%,5.09%,"6,350",742,"5,221",11.69%,17.00%
15-Jun,"1,017",,,"39,294","21,973",55.92%,592,"15,123",38.49%,87.31%,64,"2,198",5.59%,12.69%,"13,649","36,744","50,393","523,063",329190,"289,896","39,294",0,"8,776","6,257",,"1,219",13.31,8.38,6.15,11.94%,16.25%,2.66%,13.26%,"15,726","7,823",2.01,6682,,,,,,,7823,13.26%,1693,105,"2,431",6.20%,5.21%,"4,564",912,"5,392",19.98%,16.89%
16-Jun,"1,106",,,"40,400","22,466",55.61%,580,"15,703",38.87%,87.56%,33,"2,231",5.52%,12.44%,"13,510","29,124","42,634","540,115",339309,"298,909","40,400",0,"17,052","10,119",,"1,257",13.37,8.40,9.15,11.91%,10.93%,2.81%,12.70%,"15,851","8,237",1.92,5416,,,,,,,8237,12.70%,2823,94,"2,582",3.33%,4.35%,"7,296","1,012","5,654",13.87%,16.52%
17-Jun,"1,031",,,"41,431","22,912",55.30%,540,"16,243",39.20%,87.71%,45,"2,276",5.49%,12.29%,"13,279","42,714","55,993","559,872",348278,"306,847","41,431",0,"19,757","8,969",,"1,290",13.51,8.41,8.70,11.90%,11.50%,2.55%,11.70%,"16,136","8,686",1.86,6552,,,,,,,8686,11.70%,2872,147,"2,693",5.12%,4.17%,"6,097",884,"5,993",14.50%,15.09%
18-Jun,"1,331",,,"42,762","23,625",55.25%,555,"16,798",39.28%,87.78%,63,"2,339",5.47%,12.22%,"17,923","36,698","54,621","580,522",358659,"315,897","42,762",0,"20,650","10,381",,"1,328",13.58,8.39,7.80,11.92%,12.82%,3.21%,11.67%,"16,700","9,141",1.83,6374,,,,,,,9141,11.67%,3739,176,"2,745",4.71%,3.88%,"6,642","1,155","6,396",17.39%,15.01%
19-Jun,"1,041",,,"43,803","24,081",54.98%,551,"17,349",39.61%,87.97%,34,"2,373",5.42%,12.03%,"13,211","36,464","49,675","601,239",366581,"322,778","43,803",0,"20,717","7,922",,"1,358",13.73,8.37,7.61,11.95%,13.14%,2.43%,11.48%,"17,469","9,205",1.90,5703,,,,,,,9205,11.48%,3195,140,"3,003",4.38%,3.85%,"4,727",901,"6,201",19.06%,15.17%
20-Jun,"1,226",,,"45,029","24,717",54.89%,534,"17,883",39.71%,88.04%,56,"2,429",5.39%,11.96%,"13,150","37,336","50,486","621,156",374458,"329,429","45,029",0,"19,917","7,877",,"1,387",13.79,8.32,6.42,12.03%,15.56%,2.80%,12.44%,"17,947","8,740",2.05,6279,,,,,,,8740,12.44%,3578,178,"3,030",4.97%,4.50%,"4,299","1,048","5,711",24.38%,16.65%
21-Jun,862,,,"45,891","25,022",54.52%,521,"18,404",40.10%,88.19%,36,"2,465",5.37%,11.81%,"13,225","56,436","69,661","639,385",383105,"337,214","45,891",0,"18,229","8,647",,"1,419",13.93,8.35,10.03,11.98%,9.97%,1.91%,12.65%,"17,871","8,596",2.08,8815,,,,,,,8596,12.65%,2791,127,"2,956",4.55%,4.67%,"5,856",735,"5,640",12.55%,16.84%
22-Jun,954,,,"46,845","25,610",54.67%,331,"18,735",39.99%,88.23%,35,"2,500",5.34%,11.77%,"12,999","43,500","56,499","650,311",393117,"346,272","46,845",0,"10,926","10,012",,"1,456",13.88,8.39,10.49,11.92%,9.53%,2.08%,11.81%,"18,178","9,132",1.99,6674,,,,,,,9132,11.81%,2635,127,"3,090",4.82%,4.57%,"7,377",827,"6,042",11.21%,15.52%
23-Jun,"1,051",,,"47,896","26,120",54.53%,506,"19,241",40.17%,88.36%,35,"2,535",5.29%,11.64%,"13,348","35,983","49,331","668,219",401681,"353,785","47,896",0,"17,908","8,564",,"1,488",13.95,8.39,8.15,11.92%,12.27%,2.24%,12.02%,"18,301","8,910",2.05,5929,,,,,,,8910,12.02%,2841,166,"3,093",5.84%,4.90%,"5,723",885,"5,817",15.46%,15.80%
24-Jun,"1,113",,,"49,009","26,778",54.64%,417,"19,658",40.11%,88.43%,38,"2,573",5.25%,11.57%,"13,069","36,648","49,717","689,452",413919,"364,910","49,009",0,"21,233","12,238",,"1,533",14.07,8.45,11.00,11.84%,9.09%,2.32%,11.54%,"18,511","9,377",1.97,5740,,,,,,,9377,11.54%,3909,154,"3,241",3.94%,4.71%,"8,329",959,"6,136",11.51%,15.16%
25-Jun,"1,178",,,"50,187","27,118",54.03%,791,"20,449",40.75%,88.64%,47,"2,620",5.22%,11.36%,"13,323","37,294","50,617","708,962",427158,"376,971","50,187",0,"19,510","13,239",,"1,582",14.13,8.51,11.24,11.75%,8.90%,2.40%,10.84%,"18,349","9,786",1.88,5487,,,,,,,9786,10.84%,3927,195,"3,268",4.97%,4.75%,"9,312",983,"6,518",10.56%,13.89%
26-Jun,"1,240",,,"51,427","27,411",53.30%,884,"21,333",41.48%,88.83%,63,"2,683",5.22%,11.17%,"13,506","38,381","51,887","731,781",439907,"388,480","51,427",0,"22,819","12,749",,"1,629",14.23,8.55,10.28,11.69%,9.73%,2.47%,10.40%,"18,649","10,475",1.78,5395,,,,,,,10475,10.40%,4122,168,"3,400",4.08%,4.68%,"8,627","1,072","7,075",12.43%,13.14%
27-Jun,"1,385",,,"52,812","28,183",53.36%,576,"21,909",41.48%,88.96%,37,"2,720",5.15%,11.04%,"13,522","40,541","54,063","753,370",449569,"396,757","52,812",0,"21,589","9,662",,"1,665",14.27,8.51,6.98,11.75%,14.33%,2.69%,10.36%,"18,888","10,730",1.76,5602,,,,,,,10730,10.36%,2994,213,"3,317",7.11%,4.95%,"6,668","1,172","7,413",17.58%,12.78%
28-Jun,"1,198",,,"54,010","28,320",52.43%,"1,027","22,936",42.47%,89.28%,34,"2,754",5.10%,10.72%,"14,712","47,658","62,370","770,600",456636,"402,626","54,010",0,"17,230","7,067",,"1,691",14.27,8.45,5.90,11.83%,16.95%,2.27%,11.04%,"18,745","10,504",1.78,6887,,,,,,,10504,11.04%,3091,132,"3,360",4.27%,4.91%,"3,976","1,066","7,145",26.81%,13.92%
29-Jun,"1,082",,,"55,092","28,487",51.71%,864,"23,800",43.20%,89.46%,51,"2,805",5.09%,10.54%,"13,335","41,605","54,940","782,383",465683,"410,591","55,092",0,"11,783","9,047",,"1,725",14.20,8.45,8.36,11.83%,11.96%,2.00%,11.36%,"18,867","10,367",1.82,6244,,,,,,,10367,11.36%,1642,95,"3,218",5.79%,4.99%,"7,405",987,"7,149",13.33%,14.24%
30-Jun,"1,293",,,"56,385","28,703",50.91%,"1,006","24,806",43.99%,89.61%,71,"2,876",5.10%,10.39%,"13,182","43,797","56,979","803,898",477318,"420,933","56,385",0,"21,515","11,635",,"1,768",14.26,8.47,9.00,11.81%,11.11%,2.35%,11.22%,"19,383","10,805",1.79,6395,,,,,,,10805,11.22%,4266,198,"3,422",4.64%,4.82%,"7,369","1,095","7,384",14.86%,14.19%
1-Jul,"1,385",,,"57,770","29,241",50.62%,789,"25,595",44.31%,89.72%,58,"2,934",5.08%,10.28%,"13,296","45,192","58,488","825,636",492318,"434,548","57,770",0,"21,738","15,000",,"1,823",14.29,8.52,10.83,11.73%,9.23%,2.46%,11.17%,"19,455","11,200",1.74,6536,,,,,,,11200,11.17%,3277,204,"3,331",6.23%,5.17%,"11,723","1,181","7,869",10.07%,13.72%
2-Jul,"1,624",,,"59,394","29,740",50.07%,"1,072","26,667",44.90%,89.93%,53,"2,987",5.03%,10.07%,"13,359","40,778","54,137","849,155",503132,"443,738","59,394",0,"23,519","10,814",,"1,863",14.30,8.47,6.66,11.80%,15.02%,2.81%,12.12%,"20,028","10,853",1.85,6561,,,,,,,10853,12.12%,3325,198,"3,245",5.95%,5.32%,"7,489","1,426","7,608",19.04%,15.02%
3-Jul,"1,301",,,"60,695","30,091",49.58%,901,"27,568",45.42%,90.08%,49,"3,036",5.00%,9.92%,"13,609","38,767","52,376","871,436",519970,"459,275","60,695",0,"22,281","16,838",,"1,926",14.36,8.57,12.94,11.67%,7.73%,2.19%,11.58%,"19,951","11,438",1.74,6063,,,,,,,11438,11.58%,3447,144,"3,149",4.18%,5.37%,"13,391","1,157","8,289",8.64%,13.93%
4-Jul,"1,447",,,"62,142","30,834",49.62%,651,"28,219",45.41%,90.13%,53,"3,089",4.97%,9.87%,"14,205","38,890","53,095","894,428",529669,"467,527","62,142",0,"22,992","9,699",,"1,962",14.39,8.52,6.70,11.73%,14.92%,2.38%,11.65%,"20,151","11,443",1.76,6184,,,,,,,11443,11.65%,4199,215,"3,321",5.12%,5.10%,"5,500","1,232","8,122",22.40%,14.32%
5-Jul,"1,607",,,"63,749","31,473",49.37%,886,"29,105",45.66%,90.18%,82,"3,171",4.97%,9.82%,"13,767","39,928","53,695","915,482",540175,"476,426","63,749",0,"21,054","10,506",,"2,001",14.36,8.47,6.54,11.80%,15.30%,2.59%,11.66%,"20,697","11,934",1.73,6260,,,,,,,11934,11.66%,4251,256,"3,487",6.02%,5.37%,"6,255","1,351","8,447",21.60%,14.25%
6-Jul,"1,209",,,"64,958","31,798",48.95%,814,"29,919",46.06%,90.23%,70,"3,241",4.99%,9.77%,"13,360","38,748","52,108","928,238",552084,"487,126","64,958",0,"12,756","11,909",,"2,045",14.29,8.50,9.85,11.77%,10.15%,1.90%,11.42%,"20,836","12,343",1.69,5950,,,,,,,12343,11.42%,2748,231,"3,645",8.41%,5.67%,"9,161",978,"8,698",10.68%,13.83%
7-Jul,"1,268",,,"66,226","32,132",48.52%,866,"30,785",46.48%,90.29%,68,"3,309",5.00%,9.71%,"13,471","38,702","52,173","946,054",562759,"496,533","66,226",0,"17,816","10,675",,"2,084",14.29,8.50,8.42,11.77%,11.88%,1.95%,11.52%,"20,308","12,206",1.66,6009,,,,,,,12206,11.52%,2389,199,"3,377",8.33%,6.12%,"8,286","1,069","8,829",12.90%,13.58%
8-Jul,"1,853",,,"68,079","33,135",48.67%,800,"31,585",46.39%,90.39%,50,"3,359",4.93%,9.61%,"13,636","38,498","52,134","968,237",575536,"507,457","68,079",0,"22,183","12,777",,"2,132",14.22,8.45,6.90,11.83%,14.50%,2.80%,12.39%,"20,372","11,888",1.71,6458,,,,,,,11888,12.39%,3202,344,"3,366",10.74%,6.74%,"9,575","1,509","8,522",15.76%,14.62%
9-Jul,"2,657",,,"70,736","34,668",49.01%,"1,066","32,651",46.16%,90.53%,58,"3,417",4.83%,9.47%,"13,732","38,498","52,230","992,069",588080,"517,344","70,736",0,"23,832","12,544",,"2,178",14.02,8.31,4.72,12.03%,21.18%,3.90%,13.35%,"20,416","12,135",1.68,6974,,,,,,,12135,13.35%,4334,293,"3,510",6.76%,6.85%,"8,210","2,364","8,625",28.79%,16.00%
10-Jul,"1,611",,,"72,347","35,349",48.86%,878,"33,529",46.34%,90.62%,52,"3,469",4.79%,9.38%,"13,882","38,705","52,587","1,015,678",597468,"525,121","72,347",0,"23,609","9,388",,"2,213",14.04,8.26,5.83,12.11%,17.16%,2.28%,15.04%,"20,606","11,071",1.86,7907,,,,,,,11071,15.04%,4480,236,"3,658",5.27%,6.93%,"4,908","1,375","7,414",28.02%,19.03%
11-Jul,"1,671",,,"74,018","35,764",48.32%,"1,190","34,719",46.91%,90.76%,66,"3,535",4.78%,9.24%,"13,752","34,887","48,639","1,038,988","610,093","536,075","74,018",0,"23,310","12,625",,"2,260",14.04,8.24,7.56,12.13%,13.24%,2.31%,14.77%,"20,651","11,489",1.80,7182,,,,,,,11489,14.77%,4890,359,"3,756",7.34%,7.29%,"7,735","1,312","7,733",16.96%,18.40%
12-Jul,"1,681",,,"75,699","36,455",48.16%,919,"35,638",47.08%,90.81%,71,"3,606",4.76%,9.19%,"14,515","34,486","49,001","1,061,367","621,087","545,388","75,699",0,"22,379","10,994",,"2,300",14.02,8.20,6.54,12.19%,15.29%,2.27%,14.77%,"20,841","11,559",1.80,7237,,,,,,,11559,14.77%,3821,404,"3,695",10.57%,7.99%,"7,173","1,277","7,864",17.80%,17.96%
13-Jul,"1,282",,,"76,981","36,636",47.59%,"1,051","36,689",47.66%,90.94%,50,"3,656",4.75%,9.06%,"13,439","33,504","46,943","1,074,467","630,149","553,168","76,981",0,"13,100","9,062",,"2,334",13.96,8.19,7.07,12.22%,14.15%,1.69%,15.40%,"20,890","11,152",1.87,7230,,,,,,,11152,15.40%,2893,279,"3,716",9.64%,8.13%,"6,169","1,003","7,437",16.26%,19.04%
14-Jul,"1,591",,,"78,572","37,226",47.38%,947,"37,636",47.90%,91.03%,54,"3,710",4.72%,8.97%,,,"46,701","1,097,468","642,164","563,592","78,572",0,"23,001","12,015",,"2,378",13.97,8.17,7.55,12.24%,13.24%,2.07%,15.55%,"21,631","11,344",1.91,7261,,,,,,,11344,15.55%,4009,275,"3,947",6.86%,7.93%,"8,006","1,316","7,397",16.44%,19.62%
15-Jul,"1,522",,,"80,094","37,247",46.50%,"1,414","39,050",48.76%,91.14%,87,"3,797",4.74%,8.86%,,,"47,859","1,122,339","657,655","577,561","80,094",0,"24,871","15,491",,"2,436",14.01,8.21,10.18,12.18%,9.83%,1.94%,14.63%,"22,015","11,731",1.88,7002,,,,,,,11731,14.63%,4519,258,"4,135",5.71%,7.27%,"10,972","1,264","7,596",11.52%,18.64%
16-Jul,"1,574",,,"81,668","37,450",45.86%,"1,295","40,345",49.40%,91.24%,76,"3,873",4.74%,8.76%,,,"46,727","1,146,286","669,811","588,143","81,668",0,"23,947","12,156",,"2,481",14.04,8.20,7.72,12.19%,12.95%,1.97%,13.38%,"22,031","11,676",1.89,6250,,,,,,,11676,13.38%,4199,304,"4,116",7.24%,7.34%,"7,957","1,270","7,560",15.96%,16.66%
17-Jul,"1,462",,,"83,130","37,339",44.92%,"1,489","41,834",50.32%,91.36%,84,"3,957",4.76%,8.64%,,,"46,493","1,175,462","683,805","600,675","83,130",0,"29,176","13,994",,"2,533",14.14,8.23,9.57,12.16%,10.45%,1.79%,12.49%,"22,826","12,334",1.85,5807,,,,,,,12334,12.49%,4875,231,"4,172",4.74%,7.22%,"9,119","1,231","8,162",13.50%,15.18%
18-Jul,"1,752",,,"84,882","37,598",44.29%,"1,434","43,268",50.97%,91.51%,59,"4,016",4.73%,8.49%,,,"37,593","1,201,014","697,043","612,161","84,882",0,"25,552","13,238",,"2,582",14.15,8.21,7.56,12.18%,13.23%,2.11%,12.49%,"23,147","12,421",1.86,4697,,,,,,,12421,12.49%,6267,331,"4,369",5.28%,6.81%,"6,971","1,421","8,052",20.38%,15.58%
19-Jul,"1,639",,,"86,521","36,977",42.74%,"2,133","45,401",52.47%,91.64%,127,"4,143",4.79%,8.36%,,,"37,505","1,221,518","707,238","620,717","86,521",0,"20,504","10,195",,"2,619",14.12,8.17,6.22,12.23%,16.08%,1.93%,12.56%,"22,879","12,307",1.86,4711,,,,,,,12307,12.56%,4252,312,"4,431",7.34%,6.42%,"5,943","1,327","7,877",22.33%,16.02%
20-Jul,"1,693",,,"88,214","36,998",41.94%,"1,576","46,977",53.25%,91.72%,96,"4,239",4.81%,8.28%,,,"36,380","1,235,545","720,497","632,283","88,214",0,"14,027","13,259",,"2,669",14.01,8.17,7.83,12.24%,12.77%,1.96%,12.43%,"23,011","12,907",1.78,4523,,,,,,,12907,12.43%,2794,361,"4,416",12.92%,6.70%,"10,465","1,332","8,490",12.73%,15.41%
21-Jul,"1,655",,,"89,869","37,083",41.26%,"1,489","48,466",53.93%,91.82%,81,"4,320",4.81%,8.18%,,,"44,003","1,257,807","737,844","647,975","89,869",0,"22,262","17,347",,"2,733",14.00,8.21,10.48,12.18%,9.54%,1.88%,11.81%,"22,906","13,669",1.68,5195,,,,,,,13669,11.81%,5230,441,"4,591",8.43%,6.96%,"12,117","1,214","9,078",10.02%,14.26%
22-Jul,"1,882",,,"91,751","37,037",40.37%,"1,789","50,255",54.77%,91.85%,139,"4,459",4.86%,8.15%,,,"44,222","1,283,109","749,626","657,875","91,751",0,"25,302","11,782",,"2,776",13.98,8.17,6.26,12.24%,15.97%,2.09%,12.67%,"22,967","13,139",1.75,5605,,,,,,,13139,12.67%,4879,382,"4,642",7.83%,7.27%,"6,903","1,500","8,496",21.73%,15.63%
23-Jul,"1,906",,,"93,657","36,917",39.42%,"1,909","52,164",55.70%,91.94%,117,"4,576",4.89%,8.06%,,,"47,756","1,310,924","762,957","669,300","93,657",0,"27,815","13,331",,"2,826",14.00,8.15,6.99,12.28%,14.30%,2.08%,12.87%,"23,520","13,307",1.77,6147,,,,,,,13307,12.87%,5631,416,"4,847",7.39%,7.29%,"7,700","1,490","8,460",19.35%,16.07%
24-Jul,"1,761",,,"95,418","36,808",38.58%,"1,781","53,945",56.54%,92.04%,89,"4,665",4.89%,7.96%,,,"53,702","1,335,889","777,100","681,682","95,418",0,"24,965","14,143",,"2,878",14.00,8.14,8.03,12.28%,12.45%,1.88%,13.17%,"22,918","13,328",1.72,7073,,,,,,,13328,13.17%,4078,279,"4,733",6.84%,7.61%,"10,065","1,482","8,595",14.72%,16.23%
