,Kasus harian,Kasus Impor,Kasus Lokal,Total kasus,Kasus aktif,% kasus aktif,"Sembuh
21-Sep,"4,176",,,"248,852","58,378",23.46%,"3,470","180,797",72.65%,94.92%,124,"9,677",3.89%,5.08%,,,"108,880","2,950,173","1,743,000","1,494,148",,,"27,525","24,825",,"6,456",11.86,7.00,5.94,14.28%,16.82%,1.71%,15.76%,"39,638","24,779",1.60,17155,,,,,,,24779,15.76%,5451,1227,"7,022",22.51%,16.66%,"19,374","2,949","17,758",15.22%,15.40%
22-Sep,"4,071",,,"252,923","58,788",23.24%,"3,501","184,298",72.87%,94.93%,160,"9,837",3.89%,5.07%,,,"109,721","2,994,069","1,774,065","1,521,142",,,"43,896","31,065",,"6,571",11.84,7.01,7.63,14.26%,13.10%,1.64%,15.33%,"39,818","26,001",1.53,16815,,,,,,,26001,15.33%,8148,1033,"7,166",12.68%,16.33%,"22,917","3,038","18,836",13.26%,14.94%
23-Sep,"4,465",,,"257,388","59,453",23.10%,"3,660","187,958",73.03%,94.96%,140,"9,977",3.88%,5.04%,,,"109,541","3,032,250","1,799,563","1,542,175",,,"38,181","25,498",,"6,665",11.78,6.99,5.71,14.30%,17.51%,1.77%,16.06%,"39,590","25,256",1.57,17593,,,,,,,25256,16.06%,7854,1187,"7,493",15.11%,15.01%,"17,644","3,278","17,763",18.58%,16.50%
24-Sep,"4,634",,,"262,022","60,064",22.92%,"3,895","191,853",73.22%,95.00%,128,"10,105",3.86%,5.00%,,,"110,910","3,074,814","1,834,349","1,572,327",,,"42,564","34,786",,"6,794",11.73,7.00,7.51,14.28%,13.32%,1.80%,16.15%,"39,699","26,004",1.53,17910,,,,,,,26004,16.15%,7618,1305,"7,494",17.13%,15.57%,"27,168","3,329","18,510",12.25%,16.38%
25-Sep,"4,823",,,"266,845","60,431",22.65%,"4,343","196,196",73.52%,95.05%,113,"10,218",3.83%,4.95%,,,"112,082","3,120,947","1,860,768","1,593,923",,,"46,133","26,419",,"6,892",11.70,6.97,5.48,14.34%,18.26%,1.84%,16.47%,"39,942","26,303",1.52,18461,,,,,,,26303,16.47%,8144,1289,"7,487",15.83%,15.36%,"18,275","3,534","18,816",19.34%,16.91%
26-Sep,"4,494",,,"271,339","61,628",22.71%,"3,207","199,403",73.49%,95.08%,90,"10,308",3.80%,4.92%,,,"119,379","3,169,783","1,886,426","1,615,087",,,"48,836","25,658",,"6,987",11.68,6.95,5.71,14.38%,17.52%,1.68%,16.28%,"40,555","26,889",1.51,19441,,,,,,,26889,16.28%,8289,1257,"7,645",15.16%,15.65%,"17,369","3,237","19,244",18.64%,16.54%
27-Sep,"3,874",,,"275,213","61,813",22.46%,"3,611","203,014",73.77%,95.13%,78,"10,386",3.77%,4.87%,,,"129,553","3,207,055","1,907,226","1,632,013",,,"37,272","20,800",,"7,064",11.65,6.93,5.37,14.43%,18.63%,1.43%,16.15%,"40,630","27,007",1.50,20926,,,,,,,27007,16.15%,8917,1186,"7,774",13.30%,15.59%,"11,883","2,688","19,233",22.62%,16.38%
28-Sep,"3,509",,,"278,722","61,379",22.02%,"3,856","206,870",74.22%,95.18%,87,"10,473",3.76%,4.82%,,,"131,361","3,239,244","1,934,863","1,656,141",,,"32,189","27,637",,"7,166",11.62,6.94,7.88,14.41%,12.70%,1.28%,15.57%,"41,296","27,409",1.51,20451,,,,,,,27409,15.57%,5122,807,"7,727",15.76%,14.91%,"22,515","2,702","19,682",12.00%,15.83%
29-Sep,"4,002",,,"282,724","61,686",21.82%,"3,567","210,437",74.43%,95.20%,128,"10,601",3.75%,4.80%,,,"132,496","3,276,402","1,962,754","1,680,030",,,"37,158","27,891",,"7,269",11.59,6.94,6.97,14.40%,14.35%,1.44%,15.79%,"40,333","26,956",1.50,20926,,,,,,,26956,15.79%,8328,1132,"7,753",13.59%,15.04%,"19,563","2,870","19,202",14.67%,16.10%
30-Sep,"4,284",,,"287,008","61,321",21.37%,"4,510","214,947",74.89%,95.24%,139,"10,740",3.74%,4.76%,,,"132,693","3,321,898","1,993,694","1,706,686",,,"45,496","30,940",,"7,384",11.57,6.95,7.22,14.40%,13.85%,1.52%,15.26%,"41,378","27,733",1.49,20246,,,,,,,27733,15.26%,7523,1050,"7,706",13.96%,14.88%,"23,417","3,234","20,027",13.81%,15.40%
1-Oct,"4,174",,,"291,182","61,839",21.24%,"3,540","218,487",75.03%,95.27%,116,"10,856",3.73%,4.73%,,,"135,480","3,365,490","2,023,990","1,732,808",,,"43,592","30,296",,"7,496",11.56,6.95,7.26,14.39%,13.78%,1.45%,15.38%,"41,525","27,092",1.53,20832,,,,,,,27092,15.38%,6919,1162,"7,606",16.79%,14.81%,"23,377","3,012","19,486",12.88%,15.60%
2-Oct,"4,317",,,"295,499","63,187",21.38%,"2,853","221,340",74.90%,95.28%,116,"10,972",3.71%,4.72%,,,"135,348","3,407,911","2,050,821","1,755,322",,,"42,421","26,831",,"7,596",11.53,6.94,6.22,14.41%,16.09%,1.48%,15.08%,"40,995","27,150",1.51,20406,,,,,,,27150,15.08%,6697,1098,"7,399",16.40%,14.85%,"20,134","3,219","19,751",15.99%,15.16%
3-Oct,"4,007",,,"299,506","63,399",21.17%,"3,712","225,052",75.14%,95.32%,83,"11,055",3.69%,4.68%,,,"139,099","3,451,398","2,074,943","1,775,437",,,"43,487","24,122",,"7,685",11.52,6.93,6.02,14.43%,16.61%,1.36%,14.94%,"40,231","26,931",1.49,20783,,,,,,,26931,14.94%,,,,,,,,,,
4-Oct,"3,992",,,"303,498","63,894",21.05%,"3,401","228,453",75.27%,95.35%,96,"11,151",3.67%,4.65%,,,"139,401","3,488,141","2,096,584","1,793,086",,,"36,743","21,641",,"7,765",11.49,6.91,5.42,14.48%,18.45%,1.33%,14.94%,"40,155","27,051",1.48,20823,,,,,,,,,,,,,,,,,,
5-Oct,"3,622",,,"307,120","63,274",20.60%,"4,140","232,593",75.73%,95.39%,102,"11,253",3.66%,4.61%,,,"141,169","3,515,165","2,119,355","1,812,235",,,"27,024","22,771",,"7,849",11.45,6.90,6.29,14.49%,15.91%,1.19%,15.39%,"39,417","26,356",1.50,21729,,,,,,,,,,,,,,,,,,
6-Oct,"4,056",,,"311,176","63,365",20.36%,"3,844","236,437",75.98%,95.41%,121,"11,374",3.66%,4.59%,,,"140,305","3,551,507","2,145,508","1,834,332",,,"36,342","26,153",,"7,946",11.41,6.89,6.45,14.50%,15.51%,1.32%,15.57%,"39,301","26,108",1.51,21843,,,,,,,,,,,,,,,,,,
7-Oct,"4,538",,,"315,714","63,951",20.26%,"3,854","240,291",76.11%,95.44%,98,"11,472",3.63%,4.56%,,,"142,213","3,595,719","2,177,675","1,861,961",,,"44,212","32,167",,"8,065",11.39,6.90,7.09,14.50%,14.11%,1.46%,15.60%,"39,117","26,283",1.49,22189,,,,,,,,,,,,,,,,,,
8-Oct,"4,850",,,"320,564","64,924",20.25%,"3,769","244,060",76.13%,95.47%,108,"11,580",3.61%,4.53%,,,"144,072","3,639,108","2,210,576","1,890,012",,,"43,389","32,901",,"8,187",11.35,6.90,6.78,14.50%,14.74%,1.54%,15.75%,"39,088","26,655",1.47,22687,,,,,,,,,,,,,,,,,,
9-Oct,"4,094",,,"324,658","65,314",20.12%,"3,607","247,667",76.29%,95.50%,97,"11,677",3.60%,4.50%,,,"149,115","3,683,808","2,249,694","1,925,036",,,"44,700","39,118",,"8,332",11.35,6.93,9.55,14.43%,10.47%,1.28%,14.66%,"39,414","28,410",1.39,21863,,,,,,,,,,,,,,,,,,
10-Oct,"4,294",,,"328,952","65,706",19.97%,"3,814","251,481",76.45%,95.53%,88,"11,765",3.58%,4.47%,,,"151,652","3,726,476","2,283,369","1,954,417",,,"42,668","33,675",,"8,457",11.33,6.94,7.84,14.41%,12.75%,1.32%,14.13%,"39,297","29,775",1.32,21425,,,,,,,,,,,,,,,,,,
11-Oct,"4,497",,,"333,449","66,578",19.97%,"3,546","255,027",76.48%,95.56%,79,"11,844",3.55%,4.44%,,,"152,286","3,762,808","2,305,532","1,972,083",,,"36,332","22,163",,"8,539",11.28,6.91,4.93,14.46%,20.29%,1.37%,14.33%,"39,238","29,850",1.31,21829,,,,,,,,,,,,,,,,,,
12-Oct,"3,267",,,"336,716","66,262",19.68%,"3,492","258,519",76.78%,95.59%,91,"11,935",3.54%,4.41%,,,"154,532","3,802,093","2,338,550","2,001,834",,,"39,285","33,018",,"8,661",11.29,6.95,10.11,14.40%,9.89%,0.98%,13.50%,"40,990","31,314",1.31,20865,,,,,,,,,,,,,,,,,,
13-Oct,"3,906",,,"340,622","65,299",19.17%,"4,777","263,296",77.30%,95.63%,92,"12,027",3.53%,4.37%,,,"153,822","3,852,511","2,378,562","2,037,940",,,"50,418","40,012",,"8,809",11.31,6.98,10.24,14.32%,9.76%,1.16%,12.63%,"43,001","33,293",1.29,19435,,,,,,,,,,,,,,,,,,
14-Oct,"4,127",,,"344,749","64,742",18.78%,"4,555","267,851",77.69%,95.66%,129,"12,156",3.53%,4.34%,,,"154,420","3,892,904","2,415,606","2,070,857",,,"40,393","37,044",,"8,947",11.29,7.01,8.98,14.27%,11.14%,1.21%,12.20%,"42,455","33,990",1.25,18844,,,,,,,,,,,,,,,,,,
15-Oct,"4,411",,,"349,160","63,231",18.11%,"5,810","273,661",78.38%,95.71%,112,"12,268",3.51%,4.29%,,,"154,926","3,935,112","2,449,725","2,100,565",,,"42,208","34,119",,"9,073",11.27,7.02,7.73,14.25%,12.93%,1.28%,11.96%,"42,286","34,164",1.24,18525,,,,,,,,,,,,,,,,,,
16-Oct,"4,301",,,"353,461","63,570",17.99%,"3,883","277,544",78.52%,95.74%,79,"12,347",3.49%,4.26%,,,"157,672","3,976,653","2,479,922","2,126,461",,,"41,541","30,197",,"9,185",11.25,7.02,7.02,14.25%,14.24%,1.23%,12.51%,"41,835","32,890",1.27,19726,,,,,,,,,,,,,,,,,,
17-Oct,"4,301",,,"357,762","63,739",17.82%,"4,048","281,592",78.71%,95.77%,84,"12,431",3.47%,4.23%,,,"158,700","4,019,958","2,505,898","2,148,136",,,"43,305","25,976",,"9,281",11.24,7.00,6.04,14.28%,16.56%,1.22%,12.95%,"41,926","31,790",1.32,20546,,,,,,,,,,,,,,,,,,
18-Oct,"4,105",,,"361,867","64,032",17.69%,"3,732","285,324",78.85%,95.80%,80,"12,511",3.46%,4.20%,,,"159,715","4,056,336","2,528,319","2,166,452",,,"36,378","22,421",,"9,364",11.21,6.99,5.46,14.31%,18.31%,1.15%,12.76%,"41,933","31,827",1.32,20373,,,,,,,,,,,,,,,,,,
19-Oct,"3,373",,,"365,240","63,380",17.35%,"3,919","289,243",79.19%,95.82%,106,"12,617",3.45%,4.18%,,,"162,410","4,092,595","2,553,521","2,188,281",,,"36,259","25,202",,"9,457",11.21,6.99,7.47,14.30%,13.38%,0.93%,13.27%,"41,500","30,710",1.35,21550,,,,,,,,,,,,,,,,,,
20-Oct,"3,602",,,"368,842","62,455",16.93%,"4,410","293,653",79.61%,95.84%,117,"12,734",3.45%,4.16%,,,"160,740","4,123,624","2,583,085","2,214,243",,,"31,029","29,564",,"9,567",11.18,7.00,8.21,14.28%,12.18%,0.99%,13.80%,"38,730","29,218",1.33,22179,,,,,,,,,,,,,,,,,,
21-Oct,"4,267",,,"373,109","62,743",16.82%,"3,856","297,509",79.74%,95.86%,123,"12,857",3.45%,4.14%,,,"162,216","4,167,210","2,613,682","2,240,573",,,"43,586","30,597",,"9,680",11.17,7.01,7.17,14.28%,13.95%,1.16%,14.32%,"39,187","28,297",1.38,23226,,,,,,,,,,,,,,,,,,
22-Oct,"4,432",,,"377,541","63,576",16.84%,"3,497","301,006",79.73%,95.87%,102,"12,959",3.43%,4.13%,,,"164,346","4,211,138","2,647,094","2,269,553",,,"43,928","33,412",,"9,804",11.15,7.01,7.54,14.26%,13.26%,1.19%,14.38%,"39,432","28,196",1.40,23632,,,,,,,,,,,,,,,,,,
23-Oct,"4,369",,,"381,910","63,733",16.69%,"4,094","305,100",79.89%,95.89%,118,"13,077",3.42%,4.11%,,,"161,763","4,253,425","2,679,774","2,297,864",,,"42,287","32,680",,"9,925",11.14,7.02,7.48,14.25%,13.37%,1.16%,14.24%,"39,539","28,550",1.38,23027,,,,,,,,,,,,,,,,,,
24-Oct,"4,070",,,"385,980","63,556",16.47%,"4,119","309,219",80.11%,95.90%,128,"13,205",3.42%,4.10%,,,"166,380","4,293,347","2,711,239","2,325,259",,,"39,922","31,465",,"10,042",11.12,7.02,7.73,14.24%,12.94%,1.07%,13.74%,"39,056","29,334",1.33,22864,,,,,,,,,,,,,,,,,,
25-Oct,"3,732",,,"389,712","62,649",16.08%,"4,545","313,764",80.51%,95.93%,94,"13,299",3.41%,4.07%,,,"168,918","4,327,144","2,730,231","2,340,519",,,"33,797","18,992",,"10,112",11.10,7.01,5.09,14.27%,19.65%,0.97%,13.79%,"38,687","28,845",1.34,23295,,,,,,,,,,,,,,,,,,
26-Oct,"3,222",,,"392,934","61,851",15.74%,"3,908","317,672",80.85%,95.95%,112,"13,411",3.41%,4.05%,,,"170,163","4,351,557","2,749,269","2,356,335",,,"24,413","19,038",,"10,182",11.07,7.00,5.91,14.29%,16.92%,0.83%,14.15%,"36,995","27,964",1.32,24074,,,,,,,,,,,,,,,,,,
27-Oct,"3,520",,,"396,454","60,694",15.31%,"4,576","322,248",81.28%,95.98%,101,"13,512",3.41%,4.02%,,,"169,479","4,388,995","2,777,969","2,381,515",,,"37,438","28,700",,"10,289",11.07,7.01,8.15,14.27%,12.26%,0.90%,14.17%,"37,910","27,841",1.36,,,,,,,,,,,,,,,,,,,
28-Oct,"4,029",,,"400,483","61,078",15.25%,"3,545","325,793",81.35%,95.99%,100,"13,612",3.40%,4.01%,,,"169,833","4,429,567","2,805,313","2,404,830",,,"40,572","27,344",,"10,390",11.06,7.00,6.79,14.28%,14.73%,1.02%,14.28%,"37,480","27,376",1.37,,,,,,,,,,,,,,,,,,,
29-Oct,"3,565",,,"404,048","60,569",14.99%,"3,985","329,778",81.62%,96.01%,89,"13,701",3.39%,3.99%,,,"68,888","4,463,884","2,830,706","2,426,658",,,"34,317","25,393",,"10,484",11.05,7.01,7.12,14.27%,14.04%,0.89%,14.44%,"36,107","26,230",1.38,,,,,,,,,,,,,,,,,,,
30-Oct,"2,897",,,"406,945","58,868",14.47%,"4,517","334,295",82.15%,96.04%,81,"13,782",3.39%,3.96%,,,"68,292","4,488,738","2,853,984","2,447,039",,,"24,854","23,278",,"10,570",11.03,7.01,8.04,14.26%,12.45%,0.72%,14.37%,"33,616","24,887",1.35,,,,,,,,,,,,,,,,,,,
31-Oct,"3,143",,,"410,088","58,418",14.25%,"3,506","337,801",82.37%,96.06%,87,"13,869",3.38%,3.94%,,,"67,900","4,517,739","2,881,443","2,471,355",,,"29,001","27,459",,"10,672",11.02,7.03,8.74,14.23%,11.45%,0.77%,14.16%,"32,056","24,315",1.32,,,,,,,,,,,,,,,,,,,
1-Nov,"2,696",,,"412,784","56,899",13.78%,"4,141","341,942",82.84%,96.08%,74,"13,943",3.38%,3.92%,,,"61,215","4,540,947","2,899,414","2,486,630",,,"23,208","17,971",,"10,739",11.00,7.02,6.67,14.24%,15.00%,0.66%,13.64%,"30,543","24,169",1.26,,,,,,,,,,,,,,,,,,,
2-Nov,"2,618",,,"415,402","55,792",13.43%,"3,624","345,566",83.19%,96.09%,101,"14,044",3.38%,3.91%,,,"59,500","4,567,608","2,919,560","2,504,158",,,"26,661","20,146",,"10,813",11.00,7.03,7.70,14.23%,13.00%,0.63%,13.19%,"30,864","24,327",1.27,,,,,,,,,,,,,,,,,,,
3-Nov,"2,973",,,"418,375","54,732",13.08%,"3,931","349,497",83.54%,96.11%,102,"14,146",3.38%,3.89%,,,"56,039","4,597,536","2,941,778","2,523,403",,,"29,928","22,218",,"10,895",10.99,7.03,7.47,14.22%,13.38%,0.72%,13.38%,"29,792","23,401",1.27,,,,,,,,,,,,,,,,,,,
4-Nov,"3,356",,,"421,731","54,190",12.85%,"3,785","353,282",83.77%,96.12%,113,"14,259",3.38%,3.88%,,,"56,967","4,638,515","2,969,883","2,548,152",,,"40,979","28,105",,"11,000",11.00,7.04,8.37,14.20%,11.94%,0.80%,12.91%,"29,850","23,510",1.27,,,,,,,,,,,,,,,,,,,
5-Nov,"4,065",,,"425,796","54,306",12.75%,"3,860","357,142",83.88%,96.14%,89,"14,348",3.37%,3.86%,,,"55,943","4,678,096","3,001,189","2,575,393",,,"39,581","31,306",,"11,116",10.99,7.05,7.70,14.19%,12.98%,0.96%,12.76%,"30,602","24,355",1.26,,,,,,,,,,,,,,,,,,,
6-Nov,"3,778",,,"429,574","54,427",12.67%,"3,563","360,705",83.97%,96.15%,94,"14,442",3.36%,3.85%,,,"56,663","4,716,187","3,030,661","2,601,087",,,"38,091","29,472",,"11,225",10.98,7.06,7.80,14.17%,12.82%,0.89%,12.81%,"32,493","25,240",1.29,,,,,,,,,,,,,,,,,,,
7-Nov,"4,262",,,"433,836","54,879",12.65%,"3,712","364,417",84.00%,96.16%,98,"14,540",3.35%,3.84%,,,"56,461","4,754,436","3,059,777","2,625,941",,,"38,249","29,116",,"11,333",10.96,7.05,6.83,14.18%,14.64%,0.99%,13.32%,"33,814","25,476",1.33,,,,,,,,,,,,,,,,,,,
8-Nov,"3,880",,,"437,716","54,804",12.52%,"3,881","368,298",84.14%,96.18%,74,"14,614",3.34%,3.82%,,,"57,043","4,790,024","3,080,718","2,643,002",,,"35,588","20,941",,"11,410",10.94,7.04,5.40,14.21%,18.53%,0.89%,13.75%,"35,582","25,901",1.37,,,,,,,,,,,,,,,,,,,
9-Nov,"2,853",,,"440,569","53,614",12.17%,"3,968","372,266",84.50%,96.20%,75,"14,689",3.33%,3.80%,,,"57,925","4,824,389","3,105,465","2,664,896",,,"34,365","24,747",,"11,502",10.95,7.05,8.67,14.19%,11.53%,0.65%,13.54%,"36,683","26,558",1.38,,,,,,,,,,,,,,,,,,,
10-Nov,"3,779",,,"444,348","53,846",12.12%,"3,475","375,741",84.56%,96.22%,72,"14,761",3.32%,3.78%,,,"55,560","4,857,452","3,137,485","2,693,137",,,"33,063","32,020",,"11,620",10.93,7.06,8.47,14.16%,11.80%,0.86%,13.27%,"37,131","27,958",1.33,,,,,,,,,,,,,,,,,,,
11-Nov,"3,770",,,"448,118","54,300",12.12%,"3,241","378,982",84.57%,96.23%,75,"14,836",3.31%,3.77%,,,"55,982","4,896,793","3,175,096","2,726,978",,,"39,341","37,611",,"11,760",10.93,7.09,9.98,14.11%,10.02%,0.85%,12.86%,"36,897","29,316",1.26,,,,,,,,,,,,,,,,,,,
12-Nov,"4,173",,,"452,291","55,274",12.22%,"3,102","382,084",84.48%,96.24%,97,"14,933",3.30%,3.76%,,,"56,868","4,938,958","3,211,592","2,759,301",,,"42,165","36,496",,"11,895",10.92,7.10,8.75,14.08%,11.43%,0.93%,12.59%,"37,266","30,058",1.24,,,,,,,,,,,,,,,,,,,
13-Nov,"5,444",,,"457,735","57,604",12.58%,"3,010","385,094",84.13%,96.24%,104,"15,037",3.29%,3.76%,,,"58,896","4,981,291","3,249,484","2,791,749",,,"42,333","37,892",,"12,035",10.88,7.10,6.96,14.09%,14.37%,1.20%,12.87%,"37,872","31,260",1.21,,,,,,,,,,,,,,,,,,,
14-Nov,"5,272",,,"463,007","59,765",12.91%,"3,000","388,094",83.82%,96.24%,111,"15,148",3.27%,3.76%,,,"61,975","5,022,627","3,288,194","2,825,187",,,"41,336","38,710",,"12,178",10.85,7.10,7.34,14.08%,13.62%,1.15%,12.77%,"38,313","32,631",1.17,,,,,,,,,,,,,,,,,,,
15-Nov,"4,106",,,"467,113","59,911",12.83%,"3,897","391,991",83.92%,96.26%,63,"15,211",3.26%,3.74%,,,"63,380","5,055,488","3,313,590","2,846,477",,,"32,861","25,396",,"12,273",10.82,7.09,6.19,14.10%,16.17%,0.89%,12.62%,"37,923","33,267",1.14,,,,,,,,,,,,,,,,,,,
16-Nov,"3,535",,,"470,648","59,909",12.73%,"3,452","395,443",84.02%,96.28%,85,"15,296",3.25%,3.72%,,,"63,683","5,090,127","3,341,160","2,870,512",,,"34,639","27,570",,"12,375",10.82,7.10,7.80,14.09%,12.82%,0.76%,12.76%,"37,963","33,671",1.13,,,,,,,,,,,,,,,,,,,
17-Nov,"3,807",,,"474,455","60,426",12.74%,"3,193","398,636",84.02%,96.28%,97,"15,393",3.24%,3.72%,,,"64,928","5,129,899","3,377,716","2,903,261",,,"39,772","36,556",,"12,510",10.81,7.12,9.60,14.05%,10.41%,0.81%,12.53%,"38,921","34,319",1.13,,,,,,,,,,,,,,,,,,,
18-Nov,"4,265",,,"478,720","60,870",12.72%,"3,711","402,347",84.05%,96.29%,110,"15,503",3.24%,3.71%,,,"64,430","5,171,841","3,415,613","2,936,893",,,"41,942","37,897",,"12,650",10.80,7.13,8.89,14.02%,11.25%,0.90%,12.72%,"39,293","34,360",1.14,,,,,,,,,,,,,,,,,,,
19-Nov,"4,798",,,"483,518","61,306",12.68%,"4,265","406,612",84.09%,96.31%,97,"15,600",3.23%,3.69%,,,"63,546","5,219,471","3,456,835","2,973,317",,,"47,630","41,222",,"12,803",10.79,7.15,8.59,13.99%,11.64%,1.00%,12.73%,"40,073","35,035",1.14,,,,,,,,,,,,,,,,,,,
20 Nov,"4,792",,,"488,310","62,080",12.71%,"3,940","410,552",84.08%,96.32%,78,"15,678",3.21%,3.68%,,,"63,074","5,261,426","3,496,039","3,007,729",,,"41,955","39,204",,"12,948",10.77,7.16,8.18,13.97%,12.22%,0.99%,12.40%,"40,019","35,222",1.14,,,,,,,,,,,,,,,,,,,
21-Nov,"4,998",,,"493,308","63,579",12.89%,"3,403","413,955",83.91%,96.33%,96,"15,774",3.20%,3.67%,,,"64,317","5,304,548","3,526,607","3,033,299",,,"43,122","30,568",,"13,062",10.75,7.15,6.12,13.99%,16.35%,1.02%,12.71%,"40,274","34,059",1.18,,,,,,,,,,,,,,,,,,,
22-Nov,"4,360",,,"497,668","63,596",12.78%,"4,233","418,188",84.03%,96.34%,110,"15,884",3.19%,3.66%,,,"64,502","5,340,537","3,553,142","3,055,474",,,"35,989","26,535",,"13,160",10.73,7.14,6.09,14.01%,16.43%,0.88%,12.76%,"40,721","34,222",1.19,,,,,,,,,,,,,,,,,,,
23-Nov,"4,442",,,"502,110","63,722",12.69%,"4,198","422,386",84.12%,96.35%,118,"16,002",3.19%,3.65%,,,"65,279","5,380,620","3,580,476","3,078,366",,,"40,083","27,334",,"13,261",10.72,7.13,6.15,14.02%,16.25%,0.89%,13.15%,"41,499","34,188",1.21,,,,,,,,,,,,,,,,,,,
24-Nov,"4,192",,,"506,302","64,878",12.81%,"2,927","425,313",84.00%,96.35%,109,"16,111",3.18%,3.65%,,,"64,414","5,420,591","3,608,244","3,101,942",,,"39,971","27,768",,"13,364",10.71,7.13,6.62,14.03%,15.10%,0.83%,13.81%,"41,527","32,933",1.26,,,,,,,,,,,,,,,,,,,
25-Nov,"5,534",,,"511,836","65,804",12.86%,"4,494","429,807",83.97%,96.36%,114,"16,225",3.17%,3.64%,,,"65,438","5,465,921","3,651,964","3,140,128",,,"45,330","43,720",,"13,526",10.68,7.14,7.90,14.02%,12.66%,1.09%,14.01%,"42,011","33,764",1.24,,,,,,,,,,,,,,,,,,,
26-Nov,"4,917",,,"516,753","66,752",12.92%,"3,842","433,649",83.92%,96.37%,127,"16,352",3.16%,3.63%,,,"66,685","5,517,392","3,690,126","3,173,373",,,"51,471","38,162",,"13,667",10.68,7.14,7.76,14.00%,12.88%,0.96%,14.25%,"42,560","33,327",1.28,,,,,,,,,,,,,,,,,,,
27-Nov,"5,828",,,"522,581","68,604",13.13%,"3,807","437,456",83.71%,96.36%,169,"16,521",3.16%,3.64%,,,"67,836","5,566,215","3,729,561","3,206,980",,,"48,823","39,435",,"13,813",10.65,7.14,6.77,14.01%,14.78%,1.13%,14.68%,"43,541","33,360",1.31,,,,,,,,,,,,,,,,,,,
28-Nov,"5,418",,,"527,999","69,370",13.14%,"4,527","441,983",83.71%,96.37%,125,"16,646",3.15%,3.63%,,,"68,606","5,612,789","3,766,860","3,238,861",,,"46,574","37,299",,"13,951",10.63,7.13,6.88,14.02%,14.53%,1.04%,14.44%,"44,034","34,322",1.28,,,,,,,,,,,,,,,,,,,
29-Nov,"6,267",,,"534,266","71,658",13.41%,"3,810","445,793",83.44%,96.37%,169,"16,815",3.15%,3.63%,,,"70,792","5,655,692","3,797,881","3,263,615",,,"42,903","31,021",,"14,066",10.59,7.11,4.95,14.07%,20.20%,1.19%,14.95%,"45,022","34,963",1.29,,,,,,,,,,,,,,,,,,,
30-Nov,"4,617",,,"538,883","71,420",13.25%,"4,725","450,518",83.60%,96.38%,130,"16,945",3.14%,3.62%,,,"72,786","5,695,747","3,827,720","3,288,837",,,"40,055","29,839",,"14,177",10.57,7.10,6.46,14.08%,15.47%,0.86%,14.87%,"45,018","35,321",1.27,,,,,,,,,,,,,,,,,,,
1-Dec,"5,092",,,"543,975","72,015",13.24%,"4,361","454,879",83.62%,96.38%,136,"17,081",3.14%,3.62%,,,"71,286","5,746,979","3,865,412","3,321,437",,,"51,232","37,692",,"14,316",10.56,7.11,7.40,14.07%,13.51%,0.94%,14.65%,"46,627","36,738",1.27,,,,,,,,,,,,,,,,,,,
